Name,City1,Rep City,Region,geo_longitude,geo_latitude,Logo FileName,15 words,website URL
Equitierre ,Montreal,Ottawa,Eastern Canada,-85.324232,43.595578,,description,
Canada Youth Climate Coalition,Ottawa,Ottawa,Eastern Canada,-85.324232,43.595578,,description,
Climate Action Network Canada ,Ottawa,Ottawa,Eastern Canada,-85.324232,43.595578,,description,
Sierra Club US,Washington DC,Washington DC,Eastern USA,-77.0363716,38.8951148,,,
CERES ,Boston,Washington DC,Eastern USA,-77.0363716,38.8951148,,description,
Labor Network for Sustainability ,Chicago,Washington DC,Eastern USA,-77.0363716,38.8951148,,description,
Natural Resources Council of Maine,Maine,Washington DC,Eastern USA,-77.0363716,38.8951148,,description,
BOLD Nebraska ,Nebraska,Washington DC,Eastern USA,-77.0363716,38.8951148,,description,
NRDC ,New York,Washington DC,Eastern USA,-77.0363716,38.8951148,,description,
NRDC ,DC,Washington DC,Eastern USA,-77.0363716,38.8951148,,,
350.org ,New York,Washington DC,Eastern USA,-77.0363716,38.8951148,,description,
Energy Action Coalition ,Washington DC,Washington DC,Eastern USA,-77.0363716,38.8951148,,description,
Oil Change International ,Washington DC,Washington DC,Eastern USA,-77.0363716,38.8951148,,description,
National Wildlife Federation ,Washington DC,Washington DC,Eastern USA,-77.0363716,38.8951148,,description,
Friends of the Earth Europe ,Belgium,London,Europe,-0.1276597,-0.1276597,,description,
UK Tar Sands Network ,London,London,Europe,-0.1276597,-0.1276597,,description,
Transport and Environment ,London,London,Europe,-0.1276597,-0.1276597,,description,
Forest Ethics Advocacy ,Vancouver,Vancouver,Western Canada,-123.1333301,49.2499987,,,
Pipe Up Network ,Chilliwack,Vancouver,Western Canada,-123.1333301,49.2499987,,description,
Sierra Club - Prairie Chapter ,Edmonton,Vancouver,Western Canada,-123.1333301,49.2499987,,description,
Athabasca Chipewan First Nations ,Fort McKay,Vancouver,Western Canada,-123.1333301,49.2499987,,description,
Keepers of the Athabasca,Fort McKay,Vancouver,Western Canada,-123.1333301,49.2499987,,description,
Environmental Defence Canada ,Toronto,Vancouver,Western Canada,-123.1333301,49.2499987,,description,
Greenpeace Canada ,Toronto,Vancouver,Western Canada,-123.1333301,49.2499987,,description,
Greenpeace Canada ,Edmonton,Vancouver,Western Canada,-123.1333301,49.2499987,,,
Ecojustice,Vancouver,Vancouver,Western Canada,-123.1333301,49.2499987,,description,
Ecojustice,Toronto,Vancouver,Western Canada,-123.1333301,49.2499987,,,
West Coast Environmental Law ,Vancouver,Vancouver,Western Canada,-123.1333301,49.2499987,,description,
Tanker Free BC ,Vancouver,Vancouver,Western Canada,-123.1333301,49.2499987,,description,
RAVEN ,Vancouver,Vancouver,Western Canada,-123.1333301,49.2499987,,description,
Four Worlds/Four Directions ,Vancouver,Vancouver,Western Canada,-123.1333301,49.2499987,,description,
Living Oceans Society ,Vancouver,Vancouver,Western Canada,-123.1333301,49.2499987,,description,
Tar Sands Free Northeast ,Vermont,Vancouver,Western Canada,-123.1333301,49.2499987,,description,
Sierra Club of BC ,Victoria,Vancouver,Western Canada,-123.1333301,49.2499987,,description,
Sierra Club US, San Francisco,San Francisco,Western USA,-122.419199,37.7789601,,description,
Friends of the Earth US,Berkeley,San Francisco,Western USA,-122.419199,37.7789601,,description,
350.org ,San Francisco,San Francisco,Western USA,-122.419199,37.7789601,,,
Forest Ethics Advocacy ,San Francisco,San Francisco,Western USA,-122.419199,37.7789601,,description,